code,bodypart
57,Brain
64,Brain
65,Brain
66,Brain
69,Brain
74,Brain
101,Brain
176,Lung
177,Lung
178,Lung
189,Lung
190,Lung
191,Lung
192,Lung
193,Lung
194,Lung
195,Lung
202,Lung
207,
208,
238,Heart
243,Heart
244,Heart
246,Heart
247,Heart
249,Heart
251,Heart
252,Heart
253,Heart
254,Heart
280,Heart
281,Heart
282,Heart
286,Heart
287,Heart
291,Heart
292,Heart
293,Heart
300,Heart
301,Heart
303,Heart
308,Heart
309,Heart
310,Heart
312,Heart
313,Heart
314,Heart
315,Heart
329,
330,
372,
377,
378,
389,
390,
391,
392,
394,
418,
419,
460,
469,
470,
473,
480,
481,
491,
552,Hip
602,
603,
638,
640,
641,
682,
683,Kidney
684,Kidney
689,Kidney
690,Kidney
698,Kidney
699,
811,
812,
853,
870,
871,
872,
885,
897,
917,
918,
948,
39,Brain
439,
203,Lung
379,Stomach
563,
482,
536,
305,Heart
149,
